"nFactors","items_per_factor","total_items","n_respondents","pct_careless","corProp","z_threshold","is_auto_z","auto_z_value","rep_id","mcc","sensitivity","specificity","tp","tn","fp","fn","mean_z_good","mean_z_careless"
20,10,200,100,0.05,0.05,0.7,TRUE,0.687615839338061,1,-0.0165137058709601,0,0.989473684210526,0,188,2,5,6.01342679602522,3.80636147128262
20,10,200,100,0.05,0.1,0.7,TRUE,0.687615839338061,1,0,0,1,0,190,0,5,6.73618313683459,4.68047803028716
30,10,300,100,0.05,0.03,1.3,TRUE,1.25333805539459,1,0,0,1,0,190,0,5,7.67981694894929,3.41291216875762
30,10,300,100,0.05,0.05,1.3,TRUE,1.25333805539459,1,0,0,1,0,190,0,5,8.64482567493769,4.62505666089629
30,10,300,100,0.05,0.1,1.3,TRUE,1.25333805539459,1,0,0,1,0,190,0,5,9.97147300558054,6.70064541821636
8,3,24,300,0.05,0.03,0.9,TRUE,0.890196788843219,1,0.0823266608988607,0.882352941176471,0.350877192982456,15,200,370,2,0.568183883128758,0.116328918518623
8,3,24,300,0.05,0.05,0.9,TRUE,0.890196788843219,1,0.0823266608988607,0.882352941176471,0.350877192982456,15,200,370,2,0.57665238838881,0.0619175458667638
8,3,24,300,0.05,0.1,0.9,TRUE,0.890196788843219,1,0.00532137851264998,0.705882352941177,0.308771929824561,12,176,394,5,0.416262468895059,0.324383506540707
20,3,60,300,0.05,0.03,0.7,TRUE,0.687615839338061,1,0.0402853569331728,0.5,0.614035087719298,9,350,220,9,1.4119276857364,0.174686421699583
20,3,60,300,0.05,0.05,0.7,TRUE,0.687615839338061,1,0.073585130948058,0.555555555555556,0.649122807017544,10,370,200,8,1.4680271368807,0.26859747894749
20,3,60,300,0.05,0.1,0.7,TRUE,0.687615839338061,1,0.13504576298846,0.777777777777778,0.607017543859649,14,346,224,4,1.29491518359815,-0.0434445673886402
30,3,90,300,0.05,0.03,1.3,TRUE,1.25333805539459,1,0.106111751251091,0.722222222222222,0.582456140350877,13,332,238,5,1.77482175561802,0.401630679836644
30,3,90,300,0.05,0.05,1.3,TRUE,1.25333805539459,1,0.104552255303598,0.666666666666667,0.628070175438596,12,358,212,6,1.82224441004727,0.748605720921575
30,3,90,300,0.05,0.1,1.3,TRUE,1.25333805539459,1,0.0721729005782423,0.555555555555556,0.645614035087719,10,368,202,8,1.81969243669161,1.06990544344169
8,6,48,300,0.05,0.03,0.9,TRUE,0.890196788843219,1,0.10982005927411,0.882352941176471,0.442105263157895,15,252,318,2,0.852315172730526,-0.155621692226886
8,6,48,300,0.05,0.05,0.9,TRUE,0.890196788843219,1,0.129791579281428,0.941176470588235,0.442105263157895,16,252,318,1,0.983906709744689,-0.24638502298855
8,6,48,300,0.05,0.1,0.9,TRUE,0.890196788843219,1,0.0976705712559095,0.823529411764706,0.466666666666667,14,266,304,3,1.01464091155104,0.0734086172113724
20,6,120,300,0.05,0.03,0.7,TRUE,0.687615839338061,1,0.351338342149667,0.705882352941177,0.919298245614035,12,524,46,5,3.34586335947623,0.223079888711124
20,6,120,300,0.05,0.05,0.7,TRUE,0.687615839338061,1,0.384005254890348,0.705882352941177,0.933333333333333,12,532,38,5,3.23936102327898,0.116109452187047
